Specimen 1
The tested complete stress-strain curves
of concrete under uniaxial compression
Strain, Stress (MPa)
0,0
0.0002,7.71216
0.0004,13.0554
0.0006,16.6551
0.0008,18.8696
0.001,20.2244
0.0012,20.8868
0.0014,21.108
0.0016,21.1385
0.0018,21.1205
0.002,20.8853
0.0022,20.559
0.0024,20.1688
0.0026,19.6508
0.0028,19.2083
0.003,18.9998
0.0032,18.7248
0.0034,18.4495
0.0036,18.1131
0.0038,17.7766
0.004,17.3968
0.0042,16.9632
0.0044,16.5221
0.0046,16.0383
0.0048,15.5525
0.005,15.044
0.0052,14.5353
0.0054,14.0404
0.0056,13.5749
0.0058,13.118
0.006,12.6722
0.0062,12.2068
0.0064,11.7378
0.0066,11.2828
0.0068,10.881
0.007,10.4918

Specimen 2
The tested complete stress-strain curves
of concrete under uniaxial compression
Strain, Stress (MPa)
0,0
0.0002,7.10433
0.0004,12.4001
0.0006,15.828
0.0008,17.2689
0.001,18.2742
0.0012,18.9482
0.0014,19.4364
0.0016,19.7067
0.0018,19.9329
0.002,19.9349
0.0022,19.6981
0.0024,19.3891
0.0026,19.088
0.0028,18.6781
0.003,18.106
0.0032,17.425
0.0034,16.7646
0.0036,16.1932
0.0038,15.6428
0.004,15.1663
0.0042,14.7084
0.0044,14.2963
0.0046,13.8925
0.0048,13.4896
0.005,13.1282
0.0052,12.7532
0.0054,12.3804
0.0056,12.0388
0.0058,11.7109
0.006,11.3912
0.0062,11.0691
0.0064,10.7681
0.0066,10.4723
0.0068,10.1859
0.007,9.90426

Specimen 3
The tested complete stress-strain curves
of concrete under uniaxial compression
Strain, Stress (MPa)
0,0
0.0002,6.75274
0.0004,12.2926
0.0006,15.8988
0.0008,17.9436
0.001,18.8054
0.0012,19.2986
0.0014,19.6392
0.0016,19.8155
0.0018,19.8118
0.002,19.6441
0.0022,19.4622
0.0024,19.2571
0.0026,18.9473
0.0028,18.4963
0.003,18.0222
0.0032,17.4581
0.0034,16.8116
0.0036,16.1341
0.0038,15.5045
0.004,14.9153
0.0042,14.3523
0.0044,13.8484
0.0046,13.3323
0.0048,12.8075
0.005,12.3251
0.0052,11.8373
0.0054,11.3911
0.0056,10.9691
0.0058,10.5459
0.006,10.1575
0.0062,9.78467
0.0064,9.38019
0.0066,9.04498
0.0068,8.70433
0.007,8.36848

Specimen 4
The tested complete stress-strain curves
of concrete under uniaxial compression
Strain, Stress (MPa)
0,0
0.0002,7.41761
0.0004,12.8013
0.0006,16.2474
0.0008,17.8225
0.001,19.4139
0.0012,20.4516
0.0014,20.8296
0.0016,20.6842
0.0018,20.3083
0.002,19.8204
0.0022,19.2539
0.0024,18.8225
0.0026,18.378
0.0028,17.9145
0.003,17.4323
0.0032,17.1484
0.0034,16.7054
0.0036,16.1601
0.0038,15.7209
0.004,15.2731
0.0042,14.7669
0.0044,14.2445
0.0046,13.6783
0.0048,13.1288
0.005,12.5584
0.0052,12.0245
0.0054,11.4782
0.0056,10.9919
0.0058,10.5221
0.006,10.0518
0.0062,9.60138
0.0064,9.22263
0.0066,8.86761
