Specimen 1
The tested complete stress-strain curves
of concrete under uniaxial compression
Strain, Stress (MPa)
0,0
0.0002,8.91536
0.0004,16.49347
0.0006,23.44389
0.0008,29.73393
0.001,35.2321
0.0012,39.99216
0.0014,43.81583
0.0016,46.52439
0.0018,46.68577
0.002,45.65971
0.0022,44.13438
0.0024,41.42427
0.0026,38.02296
0.0028,34.59784
0.003,31.81086
0.0032,29.61844
0.0034,27.63432
0.0036,25.73169
0.0038,23.80202
0.004,21.90296
0.0042,20.18087
0.0044,18.7108
0.0046,17.40368
0.0048,16.2228
0.005,15.13821
0.0052,14.16449
0.0054,13.31167
0.0056,12.55721
0.0058,11.94164
0.006,11.45522
0.0062,10.95606
0.0064,10.38249
0.0066,9.95545

Specimen 2
The tested complete stress-strain curves
of concrete under uniaxial compression
Strain, Stress (MPa)
0,0
0.0002,8.52941
0.0004,16.3458
0.0006,23.56529
0.0008,29.97963
0.001,35.42848
0.0012,40.02404
0.0014,43.7768
0.0016,46.59809
0.0018,48.22237
0.002,48.90245
0.0022,47.74898
0.0024,45.0982
0.0026,41.58442
0.0028,37.84198
0.003,34.5052
0.0032,31.90874
0.0034,29.47045
0.0036,27.18626
0.0038,25.09577
0.004,23.13858
0.0042,21.31338
0.0044,19.63532
0.0046,18.11478
0.0048,16.72376
0.005,15.41613
0.0052,14.14315
0.0054,12.89568
0.0056,11.746
0.0058,10.76498
0.006,9.92273
0.0062,9.16524
0.0064,8.45244
0.0066,7.78966

Specimen 3
The tested complete stress-strain curves
of concrete under uniaxial compression
Strain, Stress (MPa)
0,0
0.0002,8.0112
0.0004,15.16203
0.0006,21.68147
0.0008,27.77913
0.001,33.78657
0.0012,38.84307
0.0014,42.67807
0.0016,43.51224
0.0018,43.53814
0.002,43.11971
0.0022,42.04832
0.0024,40.45454
0.0026,38.46894
0.0028,36.22208
0.003,33.84452
0.0032,31.46683
0.0034,29.21956
0.0036,27.04248
0.0038,24.58124
0.004,22.35813
0.0042,20.7996
0.0044,19.57808
